"2013-04-30 12:16:29","1","2","6","(66,32),(169,91),(164,294),(70,230),(71,33),","13.1.109.169","68"
"2013-04-30 12:16:35","2","1","2","(326,180)","194.46.168.124","69"
"2013-04-30 12:16:36","1","2","5","(421,35),(283,93),(277,272),(418,232),(424,36),","13.1.109.169","70"
"2013-04-30 12:16:51","1","2","3","(431,33),(329,99),(327,279),(439,226),(431,35),","13.1.109.169","71"
"2013-04-30 12:16:57","2","2","5","(355,139)","194.46.168.124","72"
"2013-04-30 12:16:58","3","2","1","4","13.1.109.169","73"
"2013-04-30 12:17:08","2","2","1","(242,197)","194.46.168.124","74"
"2013-04-30 12:17:22","2","2","4","(116,171)","194.46.168.124","75"
"2013-04-30 12:17:34","3","2","7","3","13.1.109.169","76"
"2013-04-30 12:17:36","2","2","2","(102,147)","194.46.168.124","77"
"2013-04-30 12:17:46","2","2","7","(246,172)","194.46.168.124","78"
"2013-04-30 12:17:47","3","2","4","4","13.1.109.169","79"
"2013-04-30 12:17:48","3","2","5","2","13.1.109.169","80"
"2013-04-30 12:17:54","3","2","2","2","13.1.109.169","81"
"2013-04-30 12:17:56","3","2","6","3","13.1.109.169","82"
"2013-04-30 12:17:58","2","2","6","(236,183)","194.46.168.124","83"
"2013-04-30 12:18:02","2","2","3","(372,125)","194.46.168.124","84"
"2013-04-30 12:18:05","3","2","3","2","13.1.109.169","85"
"2013-04-30 12:18:09","3","3","3","1","13.1.109.169","86"
"2013-04-30 12:18:14","3","1","2","3","194.46.168.124","87"
"2013-04-30 12:18:16","3","3","1","4","13.1.109.169","88"
"2013-04-30 12:18:18","3","3","4","1","13.1.109.169","89"
"2013-04-30 12:18:19","3","3","2","5","13.1.109.169","90"
"2013-04-30 12:18:21","3","1","1","5","13.1.109.169","91"
"2013-04-30 12:18:24","3","1","2","2","13.1.109.169","92"
"2013-04-30 12:18:40","2","3","2","(166,334)","13.1.109.169","93"
"2013-04-30 12:18:43","2","3","4","(289,326)","13.1.109.169","94"
"2013-04-30 12:18:46","3","1","1","2","194.46.168.124","95"
"2013-04-30 12:18:46","2","3","1","(181,244)","13.1.109.169","96"
"2013-04-30 12:18:51","2","3","3","(358,328)","13.1.109.169","97"
"2013-04-30 12:18:53","2","1","1","(349,231)","13.1.109.169","98"
"2013-04-30 12:18:55","2","1","2","(362,166)","13.1.109.169","99"
"2013-04-30 12:18:55","3","2","3","4","194.46.168.124","100"
"2013-04-30 12:18:56","3","2","4","4","194.46.168.124","101"
"2013-04-30 12:18:58","3","2","6","4","194.46.168.124","102"
"2013-04-30 12:18:58","2","2","7","-5","13.1.109.169","103"
"2013-04-30 12:18:59","3","2","5","4","194.46.168.124","104"
"2013-04-30 12:18:59","2","2","6","-5","13.1.109.169","105"
"2013-04-30 12:19:01","3","2","1","4","194.46.168.124","106"
"2013-04-30 12:19:02","2","2","4","(100,95)","13.1.109.169","107"
"2013-04-30 12:19:04","3","2","2","2","194.46.168.124","108"
"2013-04-30 12:19:06","3","2","7","4","194.46.168.124","109"
"2013-04-30 12:19:14","3","3","3","2","194.46.168.124","110"
"2013-04-30 12:19:20","3","3","2","2","194.46.168.124","111"
"2013-04-30 12:19:23","3","3","1","4","194.46.168.124","112"
"2013-04-30 12:19:28","2","2","1","(122,92)","13.1.109.169","113"
"2013-04-30 12:19:29","3","3","4","3","194.46.168.124","114"
"2013-04-30 12:19:30","2","2","2","(114,82)","13.1.109.169","115"
"2013-04-30 12:19:34","2","2","5","(356,119)","13.1.109.169","116"
"2013-04-30 12:19:36","2","2","3","(393,171)","13.1.109.169","117"
"2013-04-30 12:19:52","1","3","3","(22,303),(469,303),(474,363),(27,362),(26,305),","194.46.168.124","118"
"2013-04-30 12:20:02","1","3","4","(20,315),(478,312),(487,364),(15,360),(22,318),","194.46.168.124","119"
"2013-05-07 10:29:37","2","2","6","(90,140)","147.252.66.114","120"
"2013-05-07 10:30:08","2","2","5","(388,170)","147.252.66.114","121"
"2013-05-07 10:30:22","2","2","7","(394,176)","147.252.66.114","122"
"2013-05-07 10:30:35","2","2","4","(93,174)","147.252.66.114","123"
"2013-05-07 10:31:08","2","2","1","-5","147.252.66.114","124"
"2013-05-07 10:31:21","2","2","3","(404,157)","147.252.66.114","125"
"2013-05-07 10:31:35","2","2","2","(83,163)","147.252.66.114","126"
"2013-05-07 10:31:53","2","1","2","(324,173)","147.252.66.114","127"
"2013-05-07 10:32:07","2","1","1","(354,203)","147.252.66.114","128"
"2013-05-07 10:32:40","2","3","4","(251,319)","147.252.66.114","129"
"2013-05-07 10:32:52","2","3","2","(174,298)","147.252.66.114","130"
"2013-05-07 10:33:05","2","3","1","(130,263)","147.252.66.114","131"
"2013-05-07 10:33:25","2","3","3","(223,356)","147.252.66.114","132"
"2013-05-07 10:33:58","3","3","4","4","147.252.66.114","133"
"2013-05-07 10:34:18","3","3","3","1","147.252.66.114","134"
"2013-05-07 10:34:23","3","3","2","1","147.252.66.114","135"
"2013-05-07 10:34:30","3","3","1","1","147.252.66.114","136"
"2013-05-07 10:34:38","3","1","2","1","147.252.66.114","137"
"2013-05-07 10:34:44","3","1","1","1","147.252.66.114","138"
"2013-05-07 10:35:02","3","2","6","1","147.252.66.114","139"
"2013-05-07 10:35:09","3","2","4","1","147.252.66.114","140"
"2013-05-07 10:35:19","3","2","1","2","147.252.66.114","141"
"2013-05-07 10:35:33","3","2","7","1","147.252.66.114","142"
"2013-05-07 10:35:37","3","2","3","1","147.252.66.114","143"
"2013-05-07 10:35:42","3","2","5","4","147.252.66.114","144"
