;R	G	B	Name
0.86275	0.71728	0.374	4
0.86667	0.78333	0.47391	4
0.86559	0.8902	0.465	4
0.89455	0.90196	0.53151	4
0.88235	0.84544	0.428	4
0.8902	0.87063	0.42483	4
0.88844	0.91373	0.46878	4
0.84943	0.8902	0.48599	4
0.86667	0.86545	0.45502	4
0.83754	0.86667	0.50887	4
0.85717	0.89804	0.55171	4
0.98431	0.96194	0.78745	6
0.96863	0.99216	0.80392	6
0.98798	0.99216	0.79182	6
0.92767	0.99216	0.80044	6
0.92615	0.99216	0.78431	6
0.99216	0.98851	0.77341	6
0.9451	0.90415	0.72671	6
0.98824	0.92204	0.6782	6
0.93213	1	0.82353	8
0.99302	1	0.98824	8
0.98235	0.96471	1	8
0.8828	0.90458	0.99608	8
0.99608	1	0.9966	8
1	1	1	8
0.96071	1	0.92946	8
0.88454	0.99216	0.86916	8
0.93772	1	0.93293	8
0.95062	1	0.90123	8
0.92891	1	0.85782	8
0.97647	1	0.95294	8
0.93065	0.99608	0.87108	8
0.94297	0.99608	0.90277	8
0.94133	0.99608	0.90364	8
0.41668	0.61569	0.41867	5
0.31649	0.65882	0.30978	5
0.56489	0.78431	0.58683	5
0.58691	0.73725	0.60195	5
0.53851	0.68627	0.55467	5
0.57412	0.71765	0.6024	5
0.60643	0.7451	0.6411	5
0.5638	0.75294	0.59453	5
0.49585	0.63137	0.51844	5
0.38468	0.63137	0.38468	5
0.34357	0.60392	0.33773	5
0.40126	0.66667	0.416	5
0.41569	0.18634	0.24985	3
0.44314	0.18337	0.28255	3
0.47451	0.13956	0.27239	3
0.42353	0.18385	0.2477	3
0.43137	0.20533	0.26072	3
0.68039	0.23462	0.48674	3
0.61765	0.27082	0.46902	3
0.6549	0.34335	0.56144	3
0.72549	0.46677	0.67198	3
0.74352	0.57002	0.75686	3
0.68627	0.35787	0.56212	3
0.51765	0.21765	0.36963	3
0.49412	0.19843	0.35281	3
0.6549	0.32308	0.53047	3
0.44706	0.27813	0.23989	1
0.40392	0.20597	0.15098	1
0.33725	0.18671	0.15118	1
