2010-04-29 12:00:36,467 [main] INFO  FreeTTSVoices Loading US English FreeTTS voices...
2010-04-29 12:00:36,467 [main] INFO  FreeTTSVoices done.
2010-04-29 12:00:36,467 [main] INFO  Utt2XML WordsEn Starting power-on self test.
2010-04-29 12:00:36,467 [main] INFO  Utt2XML WordsEn Power-on self test complete.
2010-04-29 12:00:36,468 [main] INFO  Utt2XML PosEn Module started (FREETTS_POS->PARTSOFSPEECH, locale en).
2010-04-29 12:00:36,468 [main] INFO  FreeTTSVoices Loading US English FreeTTS voices...
2010-04-29 12:00:36,468 [main] INFO  FreeTTSVoices done.
2010-04-29 12:00:36,468 [main] INFO  Utt2XML PosEn Starting power-on self test.
2010-04-29 12:00:36,468 [main] INFO  Utt2XML PosEn Power-on self test complete.
2010-04-29 12:00:36,469 [main] INFO  Utt2XML SegmentsEn Module started (FREETTS_SEGMENTS->PHONEMES, locale en).
2010-04-29 12:00:36,469 [main] INFO  FreeTTSVoices Loading US English FreeTTS voices...
2010-04-29 12:00:36,469 [main] INFO  FreeTTSVoices done.
2010-04-29 12:00:36,469 [main] INFO  Utt2XML SegmentsEn Starting power-on self test.
2010-04-29 12:00:36,469 [main] INFO  Utt2XML SegmentsEn Power-on self test complete.
2010-04-29 12:00:36,469 [main] INFO  XML2Utt TokensEn Module started (TOKENS->FREETTS_TOKENS, locale en).
2010-04-29 12:00:36,469 [main] INFO  FreeTTSVoices Loading US English FreeTTS voices...
2010-04-29 12:00:36,469 [main] INFO  FreeTTSVoices done.
2010-04-29 12:00:36,469 [main] INFO  XML2Utt TokensEn Starting power-on self test.
2010-04-29 12:00:36,469 [main] INFO  XML2Utt TokensEn Power-on self test complete.
2010-04-29 12:00:36,469 [main] INFO  XML2Utt WordsEn Module started (WORDS->FREETTS_WORDS, locale en).
2010-04-29 12:00:36,469 [main] INFO  FreeTTSVoices Loading US English FreeTTS voices...
2010-04-29 12:00:36,469 [main] INFO  FreeTTSVoices done.
2010-04-29 12:00:36,469 [main] INFO  XML2Utt WordsEn Starting power-on self test.
