;R	G	B	Name
0.86275	0.60286	0.374	4
0.86667	0.68019	0.47391	4
0.8902	0.76487	0.465	4
0.90196	0.78342	0.53151	4
0.88235	0.70629	0.428	4
0.8902	0.72203	0.42483	4
0.91373	0.78226	0.46878	4
0.8902	0.78264	0.48599	4
0.86667	0.72864	0.45502	4
0.86667	0.76682	0.50887	4
0.89804	0.80984	0.55171	4
0.98431	0.90378	0.78745	6
0.99216	0.9451	0.80392	6
0.99216	0.92816	0.79182	6
0.99216	0.97124	0.80044	6
0.99216	0.96688	0.78431	6
0.99216	0.91681	0.77341	6
0.9451	0.845	0.72671	6
0.98824	0.84076	0.6782	6
1	0.98643	0.82353	8
0.99927	1	0.98824	8
0.96471	1	1	8
0.8828	0.99608	0.9438	8
0.99834	1	0.99608	8
1	1	1	8
0.99732	1	0.92946	8
0.96141	0.99216	0.86916	8
0.98084	1	0.93293	8
1	1	0.90123	8
1	1	0.85782	8
1	1	0.95294	8
0.99413	0.99608	0.87108	8
0.99177	0.99608	0.90277	8
0.99039	0.99608	0.90364	8
0.54802	0.61569	0.41668	5
0.54695	0.65882	0.30978	5
0.69655	0.78431	0.56489	5
0.67712	0.73725	0.58691	5
0.62625	0.68627	0.53851	5
0.65095	0.71765	0.57412	5
0.67576	0.7451	0.60643	5
0.6694	0.75294	0.5638	5
0.57114	0.63137	0.49585	5
0.54914	0.63137	0.38468	5
0.51908	0.60392	0.33773	5
0.56837	0.66667	0.40126	5
0.18634	0.22868	0.41569	3
0.18337	0.24949	0.44314	3
0.13956	0.22811	0.47451	3
0.18385	0.22641	0.42353	3
0.20533	0.24226	0.43137	3
0.23462	0.4027	0.68039	3
0.27082	0.40295	0.61765	3
0.34335	0.48874	0.6549	3
0.46677	0.60357	0.72549	3
0.57002	0.70348	0.75686	3
0.35787	0.49404	0.68627	3
0.21765	0.31897	0.51765	3
0.19843	0.30135	0.49412	3
0.32308	0.46134	0.6549	3
0.44706	0.26538	0.23989	1
0.40392	0.18764	0.15098	1
0.33725	0.17487	0.15118	1
0.33333	0.1875	0.16667	1
0.33725	0.1604	0.13564	1
0.4	0.224	0.2	1
0.3451	0.17274	0.13973	1
0.33333	0.17455	0.1443	1
0.27843	0.16896	0.14992	1
0.34902	0.17259	0.14122	1
0.2308	0.34118	0.23605	5
0.2323	0.37255	0.25233	5
0.2042	0.31765	0.23256	5
0.28629	0.4902	0.40863	5
0.20882	0.35294	0.29118	5
0.17935	0.32941	0.24756	5
0.19184	0.35294	0.25225	5
0.23263	0.42745	0.30666	5
0.18525	0.33725	0.25281	5
0.19951	0.3451	0.26939	5
0.26565	0.38431	0.25082	5
0.20952	0.3451	0.24923	5
0.23458	0.36863	0.23458	5
0.89804	0.89804	0.52826	2
0.89412	0.89009	0.51955	2
0.86275	0.86275	0.5075	2
0.89412	0.88305	0.52245	2
0.93333	0.92046	0.47312	2
0.86667	0.83433	0.44035	2
0.95686	0.93864	0.5164	2
0.8549	0.8549	0.4972	2
0.90588	0.86057	0.44226	2
0.76078	0.72147	0.40204	2
0.90196	0.88408	0.50273	2
0.78824	0.77898	0.4523	2
0.7098	0.68498	0.38356	2
0.91765	0.90559	0.54387	2
0.9098	0.88331	0.49082	2
1	1	0.68627	2
1	1	0.66274	2
1	1	0.6549	2
1	1	0.64314	2
1	1	0.6549	2
0.97255	0.96986	0.68651	2
0.92941	0.92941	0.59774	2
0.94118	0.89269	0.48245	2
0.88235	0.87771	0.51313	2
0.84314	0.83096	0.5038	2
0.94118	0.89802	0.49781	2
0.99216	0.97614	0.55164	2
1	1	0.68131	2
1	1	0.68627	2
1	1	0.68235	2
0.066744	0.23008	0.74902	3
0.069982	0.2332	0.7451	3
0.067019	0.22917	0.7451	3
0.067365	0.23117	0.75686	3
0.074898	0.24078	0.75686	3
0.070803	0.23401	0.74902	3
0.063757	0.22196	0.74118	3
0.06776	0.22656	0.72941	3
0.065972	0.223	0.72157	3
0.064835	0.18963	0.59216	3
0.060102	0.17673	0.55294	3
0.05788	0.21475	0.72157	3
0.058509	0.21681	0.72941	3
0.061086	0.22197	0.74118	3
0.057571	0.18286	0.59216	3
0.25062	0.42382	0.7098	3
0.27782	0.46342	0.78824	3
0.27665	0.46129	0.78039	3
0.26161	0.46049	0.81176	3
0.27773	0.46306	0.78431	3
0.29401	0.54065	0.94902	3
0.3027	0.54874	0.95294	3
0.30234	0.549	0.95294	3
0.31262	0.61084	0.90588	3
0.35686	0.65357	1	3
0.34902	0.69226	1	3
0.29509	0.5666	0.96471	3
0.23835	0.46411	0.83922	3
0.32031	0.60311	0.99608	3
0.36471	0.67878	1	3
0.95294	1	1	8
0.9066	0.98824	0.98824	8
1	0.99645	0.99608	8
1	0.99765	0.98823	8
0.94902	1	1	8
0.90489	0.98824	0.98824	8
0.77109	0.89877	0.90196	8
0.74883	0.86917	0.87843	8
0.93548	1	1	8
0.93464	1	1	8
0.96135	1	1	8
0.9312	1	1	8
0.79461	0.92185	0.92549	8
0.74118	0.61632	0.18893	2
0.75882	0.63215	0.18881	2
0.77255	0.64198	0.19182	2
0.87843	0.72112	0.21028	2
0.87843	0.76305	0.24381	2
0.87843	0.77416	0.26771	2
0.78039	0.66541	0.19111	2
0.79608	0.66945	0.18624	2
0.93725	0.83121	0.24795	2
0.93333	0.81676	0.22327	2
0.80392	0.69331	0.20889	2
